"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2024-10-21 05:24:21","3735718369","FILUSDT","Market","BUY","0","3.47FIL","2024-10-21 05:24:21","3.47FIL","3.988","13.83836USDT","FILLED"
"2024-10-21 05:24:21","3793711632","FTMUSDT","Market","BUY","0","17FTM","2024-10-21 05:24:21","17FTM","0.7762","13.1954USDT","FILLED"
"2024-10-21 05:24:20","1977237116","ARBUSDT","Market","BUY","0","22.7ARB","2024-10-21 05:24:20","22.7ARB","0.6081","13.80387USDT","FILLED"
"2024-10-21 05:24:20","31490822321","BTCUSDT","Market","BUY","0","0.0002BTC","2024-10-21 05:24:20","0.0002BTC","69130","13.826USDT","FILLED"
"2024-10-21 05:24:20","1738310896","INJUSDT","Market","BUY","0","0.62INJ","2024-10-21 05:24:20","0.62INJ","22.08","13.6896USDT","FILLED"
"2024-10-21 05:24:20","684642627","BEAMXUSDT","Market","BUY","0","766BEAMX","2024-10-21 05:24:20","766BEAMX","0.0181","13.8646USDT","FILLED"
"2024-10-21 05:24:20","1404569215","COTIUSDT","Market","BUY","0","125COTI","2024-10-21 05:24:20","125COTI","0.11065","13.83125USDT","FILLED"
"2024-10-21 05:24:20","1322399760","IMXUSDT","Market","BUY","0","8.45IMX","2024-10-21 05:24:20","8.45IMX","1.637","13.83265USDT","FILLED"
"2024-10-21 05:24:19","6156631813","DOGEUSDT","Market","BUY","0","93DOGE","2024-10-21 05:24:19","93DOGE","0.148","13.764USDT","FILLED"
"2024-10-21 05:24:19","3539214542","AVAXUSDT","Market","BUY","0","0.47AVAX","2024-10-21 05:24:19","0.47AVAX","28.96","13.6112USDT","FILLED"
"2024-10-21 05:24:19","1172011307","SEIUSDT","Market","BUY","0","30.3SEI","2024-10-21 05:24:19","30.3SEI","0.4571","13.85013USDT","FILLED"
"2024-10-21 05:24:19","618826172","GLMRUSDT","Market","BUY","0","79.4GLMR","2024-10-21 05:24:19","79.4GLMR","0.1746","13.86324USDT","FILLED"
"2024-10-21 05:24:19","1181455903","SKLUSDT","Market","BUY","0","322SKL","2024-10-21 05:24:19","322SKL","0.04297","13.83634USDT","FILLED"
"2024-10-21 05:24:18","453071209","VTHOUSDT","Market","BUY","0","7303VTHO","2024-10-21 05:24:18","7303VTHO","0.001895","13.839185USDT","FILLED"
"2024-10-15 13:53:48","3723857292","FILUSDT","Market","SELL","0","5.5FIL","2024-10-15 13:53:48","5.5FIL","3.873","21.3015USDT","FILLED"
"2024-10-15 13:53:48","1175274934","SKLUSDT","Market","SELL","0","5933SKL","2024-10-15 13:53:48","5933SKL","0.04006457","237.70309USDT","FILLED"
"2024-10-15 13:53:48","3766033947","FTMUSDT","Market","SELL","0","32FTM","2024-10-15 13:53:48","32FTM","0.7687","24.5984USDT","FILLED"
"2024-10-15 13:53:47","6095336723","DOGEUSDT","Market","SELL","0","185DOGE","2024-10-15 13:53:47","185DOGE","0.11754","21.7449USDT","FILLED"
"2024-10-05 03:41:18","6045736924","DOGEUSDT","Market","BUY","0","185DOGE","2024-10-05 03:41:18","185DOGE","0.1081","19.9985USDT","FILLED"
"2024-10-05 03:41:10","3704933260","FILUSDT","Market","BUY","0","5.5FIL","2024-10-05 03:41:10","5.5FIL","3.635","19.9925USDT","FILLED"
"2024-10-05 03:40:14","3707240865","FTMUSDT","Market","BUY","0","32FTM","2024-10-05 03:40:14","32FTM","0.6192","19.8144USDT","FILLED"
"2024-10-05 03:31:10","1166940266","SKLUSDT","Market","BUY","0","5933SKL","2024-10-05 03:31:10","5933SKL","0.0372","220.7076USDT","FILLED"
"2024-10-05 03:12:36","5907437605","BNBUSDT","Limit","BUY","556.1","0.009BNB","2024-10-05 03:12:36","0.009BNB","553.4","4.9806USDT","FILLED"
"2024-10-05 03:06:28","4425688152","DOTUSDT","Market","SELL","0","4.4DOT","2024-10-05 03:06:28","4.4DOT","4.168","18.3392USDT","FILLED"
"2024-10-05 03:06:28","2726764892","VETUSDT","Market","SELL","0","803.2VET","2024-10-05 03:06:28","803.2VET","0.02269","18.224608USDT","FILLED"
"2024-10-05 03:06:28","1166926580","SKLUSDT","Market","SELL","0","7399SKL","2024-10-05 03:06:28","7399SKL","0.03724","275.53876USDT","FILLED"
"2024-10-05 03:06:27","6045634724","DOGEUSDT","Market","SELL","0","167DOGE","2024-10-05 03:06:27","167DOGE","0.10812","18.05604USDT","FILLED"
"2024-10-01 10:41:11","6015312061","DOGEUSDT","Market","BUY","0","168DOGE","2024-10-01 10:41:11","168DOGE","0.11837","19.88616USDT","FILLED"
"2024-10-01 10:41:00","4414261255","DOTUSDT","Market","BUY","0","4.41DOT","2024-10-01 10:41:00","4.41DOT","4.53","19.9773USDT","FILLED"
"2024-10-01 10:40:45","2722082301","VETUSDT","Market","BUY","0","804.1VET","2024-10-01 10:40:45","804.1VET","0.02487","19.997967USDT","FILLED"
"2024-10-01 05:10:45","1161764905","SKLUSDT","Market","BUY","0","7407SKL","2024-10-01 05:10:45","7407SKL","0.0405","299.9835USDT","FILLED"
"2024-10-01 04:58:17","1918676077","ARBUSDT","Market","SELL","0","33.4ARB","2024-10-01 04:58:17","33.4ARB","0.6244","20.85496USDT","FILLED"
"2024-10-01 04:58:17","30876181548","BTCUSDT","Market","SELL","0","0.00031BTC","2024-10-01 04:58:17","0.00031BTC","63818.64","19.7837784USDT","FILLED"
"2024-10-01 04:58:17","1371827307","COTIUSDT","Market","SELL","0","180COTI","2024-10-01 04:58:17","180COTI","0.1201735","21.63123USDT","FILLED"
"2024-10-01 04:58:17","3693341238","FILUSDT","Market","SELL","0","5.27FIL","2024-10-01 04:58:17","5.27FIL","3.91","20.6057USDT","FILLED"
"2024-10-01 04:58:17","2053084243","FETUSDT","Market","SELL","0","13.5FET","2024-10-01 04:58:17","13.5FET","1.61","21.735USDT","FILLED"
"2024-10-01 04:58:17","3677973797","FTMUSDT","Market","SELL","0","31FTM","2024-10-01 04:58:17","31FTM","0.7311","22.6641USDT","FILLED"
"2024-10-01 04:58:17","613467704","GLMRUSDT","Market","SELL","0","113GLMR","2024-10-01 04:58:17","113GLMR","0.1826","20.6338USDT","FILLED"
"2024-10-01 04:58:17","1283904960","IMXUSDT","Market","SELL","0","12.13IMX","2024-10-01 04:58:17","12.13IMX","1.752","21.25176USDT","FILLED"
"2024-10-01 04:58:17","1161757481","SKLUSDT","Market","SELL","0","500SKL","2024-10-01 04:58:17","500SKL","0.0408","20.4USDT","FILLED"
"2024-10-01 04:58:17","1077550585","SEIUSDT","Market","SELL","0","47.5SEI","2024-10-01 04:58:17","47.5SEI","0.4962","23.5695USDT","FILLED"
